Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.7611111	3.7820685	19.0	-1.0	21.76111	-0.11574627	0.0021843335	-0.10457524	-0.122001104	4000	-7.450581e-09	11.208104	-0.022442555	-2.8897564	3.3940427	0.009366238	0.17842843	79.0	134.11906027793884
1	1.8114285	3.2573233	16.0	-1.0	22.2	1.1448051	1.1706682	6.244726	-2.516762	8000	1.4901161e-08	9.2574835	-0.033347968	-2.341039	3.3854396	0.015873658	0.25475475	42.0	237.18199706077576
2	1.7175142	3.257218	19.0	-1.0	22.056498	0.82798296	1.1355882	6.1596932	-3.1820755	12000	-1.3659398e-08	7.9756646	-0.036545783	-2.9177501	3.3587627	0.01588062	0.22397397	30.0	335.14936804771423
3	2.096591	4.1528726	25.0	-1.0	22.380682	0.8279785	1.4055573	8.531893	-2.6613288	16000	4.967054e-09	12.749855	-0.04940702	-6.4767213	3.3261259	0.015369303	0.26526526	39.0	456.9519898891449
4	1.9171598	2.9117599	13.0	-1.0	23.28994	0.7087482	1.8740187	10.417541	-5.3548603	20000	1.4901161e-08	8.792178	-0.04008742	-4.614283	3.297615	0.01776488	0.25375375	25.0	589.7831101417542
5	2.8152866	4.52709	24.0	-1.0	24.713375	0.9785317	1.2191901	9.725727	-1.6139783	24000	-1.4901161e-08	15.486875	-0.011849466	-7.627786	3.2959986	0.022086577	0.3243243	8.0	697.2594270706177
6	2.8375	4.6715727	28.0	-1.0	24.54375	2.0197604	2.0175219	22.546244	-2.6163425	28000	1.9247333e-08	17.866676	-0.017026924	-6.4638996	3.2452123	0.015635533	0.17967969	8.0	814.9070100784302
7	3.2207792	4.534495	21.0	-1.0	25.363636	1.7836349	1.7025145	18.272459	-1.7586237	32000	0.0	15.05748	-0.026362082	-4.0752177	3.2553413	0.015097804	0.21046047	14.0	932.9383070468903
8	3.292517	4.580662	30.0	-1.0	26.870749	2.0198479	1.4274327	7.7833176	-0.8900405	36000	-3.7252903e-09	14.285062	-0.046199787	-4.6410174	3.2336502	0.0155670745	0.26526526	35.0	1078.3887069225311
9	3.9285715	6.5034533	49.0	-1.0	27.764286	2.405814	2.0694797	18.702599	-2.920655	40000	4.967054e-09	32.89786	-0.04597458	-15.558529	3.1929562	0.015161831	0.2072072	27.0	1210.1193571090698
10	4.5972223	5.679299	41.0	-1.0	27.465279	2.5261276	2.261768	26.077154	-2.9158432	44000	0.0	26.523474	-0.009531754	-10.306251	3.1665866	0.019350884	0.2827828	3.0	1313.4100041389465
11	4.489051	5.331516	24.0	-1.0	28.532846	2.9587703	1.9717017	19.493658	-1.2498572	48000	6.208817e-09	20.078825	-0.0023997885	-4.5699964	3.1078207	0.021427482	0.2892893	2.0	1414.371258020401
12	4.442029	6.2334046	35.0	-1.0	28.173914	2.4589252	1.6835093	10.909415	-0.29077232	52000	-7.450581e-09	27.344423	-0.016410803	-5.7357125	3.019222	0.017064124	0.22972973	6.0	1519.4376921653748
13	4.5597014	5.1738596	21.0	-1.0	28.80597	3.196543	1.8190057	18.982922	-1.144802	56000	-3.973643e-08	18.979946	-0.005243845	-3.5603187	2.990935	0.01996939	0.25650647	2.0	1616.9517831802368
14	5.677419	7.303941	48.0	-1.0	31.120968	2.7504108	1.4025321	9.896967	-0.066629365	60000	2.9802322e-08	34.264236	-0.013593327	-8.490449	2.9257305	0.015966201	0.21046047	5.0	1716.1781420707703
15	5.2	6.867896	40.0	-1.0	30.952	3.8771222	2.7625308	32.385765	-0.8999054	64000	-2.483527e-09	29.693619	-0.004867164	-10.185212	2.8832235	0.016852353	0.26351354	3.0	1817.9945471286774
16	5.968	6.606586	29.0	-1.0	31.112	3.2465074	2.30096	17.567606	-3.2055244	68000	0.0	26.791704	-0.008525313	-5.193272	2.8265743	0.015419997	0.24324326	3.0	1915.4604949951172
17	6.2982454	7.336438	33.0	-1.0	32.877193	3.6343448	1.9315523	7.7905426	-2.357696	72000	4.967054e-09	36.535343	0.016038362	-8.391288	2.7951367	0.04511696	0.47447446	2.0	2013.5955080986023
18	6.9396553	7.9299617	36.0	-1.0	33.551723	4.3935204	3.1638644	23.490427	-5.236802	76000	2.483527e-09	43.26651	0.057465214	-13.428853	2.6577983	0.07678962	0.6969469	1.0	2122.698203086853
19	6.633333	7.453113	39.0	-1.0	32.483334	4.3701916	2.571714	27.078651	-0.12778875	80000	-9.934108e-09	35.587025	0.010081523	-7.8029785	2.4647636	0.03443561	0.47347346	2.0	2224.105211019516
20	6.575221	8.32185	60.0	-1.0	33.79646	3.9498792	2.2337115	19.196808	-0.06340483	84000	-7.450581e-09	47.518173	0.05374426	-12.589541	2.5505335	0.091218196	0.6689189	1.0	2292.583321094513
21	8.2429905	8.814645	49.0	-1.0	36.196262	4.4996433	2.8945706	45.697014	-0.20153321	88000	-7.450581e-09	50.172115	0.03738621	-15.646481	2.6587982	0.056106985	0.56981987	1.0	2359.3977530002594
22	6.5	7.1454196	48.0	-1.0	33.798244	5.21019	3.252775	29.49735	-3.1014338	92000	2.9802322e-08	37.97434	0.017845234	-13.284062	2.710512	0.026562652	0.41566566	1.0	2426.7198281288147
23	6.62069	8.072576	41.0	-1.0	33.982758	4.2614613	2.8778062	24.403917	-1.3271682	96000	-1.9868216e-08	39.29407	0.0053569637	-8.420803	2.7107522	0.016123433	0.23973973	1.0	2493.709438085556
24	5.3884296	5.811604	29.0	-1.0	32.123966	3.9996943	2.2665133	15.733946	-0.7151289	100000	-1.8626451e-09	22.641268	-0.0017126674	-4.749195	2.6859083	0.018724067	0.33933935	2.0	2561.8865880966187
25	7.213675	8.153264	52.0	-1.0	33.418804	3.2384014	1.8298576	14.498929	0.0034027547	104000	1.2417634e-08	42.385395	-0.012747775	-12.184151	2.5816116	0.01674184	0.252002	5.0	2632.3624250888824
26	8.923809	8.801186	50.0	-1.0	37.142857	4.3777733	3.6354723	46.189896	-1.6917562	108000	5.5879354e-09	58.295013	0.001954749	-20.83649	2.4489956	0.020662198	0.24749751	1.0	2699.3992080688477
27	8.504854	8.410435	48.0	-1.0	37.92233	5.26818	2.7040694	15.845206	0.10244622	112000	0.0	40.245144	0.007121222	-11.520328	2.3596683	0.023227649	0.30280277	1.0	2766.3475720882416
28	9.92	11.853844	65.0	-1.0	39.44	4.882783	2.9914773	20.890425	-0.53804535	116000	-9.934108e-09	75.369316	0.008536726	-19.315643	2.2691076	0.022062594	0.30005005	1.0	2836.9563081264496
29	9.768421	9.236601	46.0	-1.0	40.31579	8.26518	4.7227626	47.510082	0.112363495	120000	1.3659398e-08	65.16871	-0.0060002413	-24.002707	2.2152798	0.016684473	0.19844846	3.0	2905.9401710033417
30	7.296296	9.197684	45.0	-1.0	36.24074	6.0207853	3.3454826	20.576756	-1.644007	124000	-3.7252903e-09	52.50382	-0.015537149	-14.119026	2.31488	0.0155361155	0.2142142	5.0	2976.156596183777
31	9.563829	9.634335	59.0	-1.0	40.38298	4.3332334	2.8175716	24.340212	-4.6614842	128000	-9.934108e-09	56.867565	-0.0076122615	-23.15114	2.1839976	0.015127629	0.21746747	3.0	3047.304620027542
32	11.868132	13.136819	57.0	-1.0	42.252747	5.4598837	3.789577	46.839123	0.17421137	132000	9.934108e-09	102.74583	0.0033458667	-32.355255	2.0887377	0.019475946	0.21496494	1.0	3118.558930158615
33	11.593407	10.01864	44.0	-1.0	42.263737	7.8192515	3.869495	20.785345	0.18897222	136000	0.0	59.59953	-0.009997221	-16.759054	2.0505574	0.019638916	0.27002	5.0	3189.2261469364166
34	8.626263	7.4611263	45.0	-1.0	38.67677	6.9300313	3.8414006	25.037302	0.21322776	140000	-2.1109978e-08	39.25275	0.0062194667	-12.588737	2.0407178	0.018468129	0.2575075	1.0	3256.5272450447083
35	9.737373	9.991497	44.0	-1.0	38.737373	4.943322	2.9187138	13.4373255	-0.1580175	144000	-6.829699e-09	60.20717	-0.0035116132	-18.4877	1.9794248	0.021415832	0.3188188	4.0	3326.139449119568
36	10.576087	11.567601	57.0	-1.0	41.141304	6.311055	3.6452081	70.20841	-5.9886036	148000	-1.4901161e-08	74.24942	0.019158695	-22.116564	1.9078954	0.0427746	0.39489493	1.0	3393.4991211891174
