Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2.0484428	4.0853024	26.0	-1.0	13.650519	0.3899185	0.013121328	0.44632834	0.35268593	4000	0.0	13.405052	-0.0011659736	-0.89665633	2.2830274	-1.6827156e-05	0.0	79.0	1.9758081436157227
1	2.2385964	4.6217546	24.0	-1.0	13.828071	1.1847137	0.03246543	1.2686073	1.0289475	8000	-7.450581e-09	16.374697	-0.004357087	-0.7461898	2.283721	0.00469712	0.028028028	79.0	4.030143976211548
2	2.516854	4.7494035	35.0	-1.0	14.764045	1.7407033	0.54452205	2.8763285	0.4356794	12000	9.934108e-09	16.951527	-0.00973698	-0.41806492	2.2875397	0.0049945936	0.06731732	79.0	6.084575176239014
3	2.5555556	4.377951	27.0	-1.0	15.088122	1.9040215	0.7165986	3.7156258	0.08639616	16000	1.0554989e-08	13.317356	-0.009007252	-0.23938282	2.283245	0.0018147341	0.044044048	79.0	8.168853044509888
4	2.7607844	5.239521	40.0	-1.0	15.509804	1.6861142	0.7816173	3.8221757	0.026832728	20000	1.2417635e-09	20.21247	-0.012063908	-0.5395398	2.2727973	0.004748698	0.09634635	79.0	10.223777055740356
5	3.849138	5.9977436	33.0	-1.0	17.056034	2.0392966	0.8844659	4.6380744	0.061229087	24000	-4.967054e-09	25.037024	-0.014855211	-0.8430486	2.242486	0.006595207	0.09434434	79.0	12.283976078033447
6	2.9294605	4.7996373	24.0	-1.0	16.323652	2.7781835	1.0075973	5.5690923	0.17456631	28000	3.7252903e-09	16.377317	-0.014327142	-0.7487739	2.22701	0.006926534	0.10035035	79.0	14.354444026947021
7	4.7980294	7.3540716	36.0	-1.0	19.17734	1.9735049	0.9418218	4.38572	0.0024262602	32000	-4.284084e-08	38.904873	-0.014561842	-3.2951381	2.1928132	0.008613971	0.1091091	79.0	16.409115076065063
8	4.0047846	6.3113008	40.0	-1.0	18.47847	3.6358285	1.3623455	6.7783175	0.02422418	36000	4.967054e-09	29.167328	-0.014232804	-0.3768746	2.162294	0.00849218	0.10235235	79.0	18.462766885757446
9	5.3783784	7.1029167	47.0	-1.0	21.156757	3.192913	1.2997931	6.938898	0.004232835	40000	-1.1175871e-08	35.823383	-0.011672114	-0.5063009	2.1211426	0.011531927	0.09434435	79.0	20.55240511894226
10	5.4364643	7.6514254	40.0	-1.0	21.292818	3.6907685	1.3433118	7.6618857	0.092507794	44000	1.2417634e-08	42.781353	-0.015272625	-0.56871223	2.0792034	0.010448381	0.11761763	79.0	22.61404013633728
11	6.1657143	8.988943	60.0	-1.0	22.405714	4.050041	1.5255513	7.618764	0.088219464	48000	1.4901161e-08	51.71458	-0.011182596	-0.7981472	2.0195777	0.008916943	0.09934935	79.0	24.65991711616516
12	6.6503067	8.367725	44.0	-1.0	23.619633	4.6505375	1.6418363	8.849358	0.00050663203	52000	-1.9868216e-08	43.114384	-0.014403784	-0.4707899	1.9850782	0.009630278	0.118368365	79.0	26.712024211883545
13	6.0621467	7.4728575	40.0	-1.0	22.451977	4.750357	1.7088286	8.450917	-0.09738942	56000	-4.967054e-09	32.107555	-0.010245322	-1.4412953	1.9289426	0.010024435	0.09134135	79.0	28.764941215515137
14	8.22973	10.486861	74.0	-1.0	26.587837	3.7896984	1.8409756	8.321379	-0.13249514	60000	7.450581e-09	67.56985	-0.01001515	-4.53746	1.8982996	0.00867189	0.07907908	79.0	30.81722092628479
15	8.985915	10.4719515	53.0	-1.0	27.838028	5.7713075	1.8383083	10.246402	0.008266583	64000	9.934108e-09	54.604046	-0.008136424	-0.9005194	1.8757782	0.006574757	0.05455455	79.0	32.87161922454834
16	7.8940396	8.651572	52.0	-1.0	25.89404	5.9035993	2.376567	11.085103	-0.14689013	68000	1.7074248e-09	40.965633	-0.008420271	-1.3739733	1.815208	0.005537867	0.06956957	79.0	34.9211049079895
17	9.135715	10.845151	62.0	-1.0	27.8	4.9557986	2.0350838	9.319539	-0.16164672	72000	2.2351742e-08	66.17481	-0.009262349	-2.0380726	1.7621851	0.0047153533	0.06406406	79.0	36.97497296333313
18	9.808824	11.4362135	53.0	-1.0	28.691177	6.1732006	2.0335896	11.0026655	-0.14265975	76000	6.208817e-09	64.53881	-0.010459483	-1.3699688	1.7241498	0.007232122	0.06881882	79.0	39.02899217605591
19	8.601449	8.512174	47.0	-1.0	27.81884	6.7357225	2.5405273	13.054827	-0.18452127	80000	1.9868216e-08	43.761272	-0.010613389	-2.1791306	1.6915575	0.00596438	0.081581585	79.0	41.0846951007843
20	7.8299317	10.0883	64.0	-1.0	26.095238	5.4403033	2.1390822	9.626079	-0.20106456	84000	1.1175871e-08	62.55543	-0.012586658	-0.76674014	1.6895304	0.009329166	0.1016016	79.0	43.136558055877686
21	11.152	12.87233	68.0	-1.0	31.072	5.87995	1.9303043	9.9259205	-0.19044873	88000	-2.483527e-09	91.74705	-0.011700395	-5.441857	1.6178414	0.0043652565	0.07832833	79.0	45.2012722492218
22	8.416667	10.861182	57.0	-1.0	27.125	7.8486032	2.7446437	13.215749	-0.19176866	92000	-2.4835268e-08	66.274925	-0.011027119	-3.6995325	1.583469	0.0045594294	0.067817815	79.0	47.25211310386658
23	9.333333	11.290025	62.0	-1.0	29.439394	6.1629252	2.269227	10.379962	-0.2315661	96000	-9.934108e-09	69.451965	-0.013041516	-0.61073303	1.546496	0.010379451	0.075075075	79.0	49.29993915557861
24	11.653226	12.630637	53.0	-1.0	31.67742	6.6721807	2.264762	10.399341	-0.25347474	100000	9.934108e-09	72.688705	-0.0130189685	-1.4988321	1.5434297	0.0056218174	0.07857858	79.0	51.39224720001221
25	11.680327	13.792529	67.0	-1.0	32.14754	7.6416984	2.5747936	12.076505	-0.087605745	104000	1.9868216e-08	94.795235	-0.010111808	-1.5633221	1.521493	0.0037292913	0.057557557	79.0	53.44930601119995
26	12.938053	12.548866	59.0	-1.0	34.283184	8.584091	2.6730816	12.673701	-0.14082831	108000	9.934108e-09	74.3471	-0.013746839	-1.2072506	1.523585	0.008000108	0.076576576	79.0	55.497653007507324
27	12.4561405	12.493606	58.0	-1.0	33.833332	8.034302	2.4911337	12.057483	-0.25194332	112000	4.967054e-09	71.53975	-0.009606994	-0.8001607	1.4862665	0.004822743	0.0508008	79.0	57.54923701286316
28	13.110092	13.864574	57.0	-1.0	35.51376	7.7486835	2.6362343	12.003568	-0.3237083	116000	-7.450581e-09	95.934654	-0.011379744	-2.8680077	1.4601792	0.0042347778	0.065565564	79.0	59.59754395484924
29	13.321428	13.865562	63.0	-1.0	34.589287	9.260155	2.7727911	13.922465	-0.22294793	120000	-1.2417635e-09	98.6979	-0.01013614	-1.1752523	1.4459686	0.0044764415	0.059559558	79.0	61.652230978012085
30	14.451923	15.322733	60.0	-1.0	36.817307	9.270616	3.0487356	14.572336	-0.35204315	124000	9.934108e-09	104.11676	-0.008952706	-2.5929432	1.3951429	0.006166991	0.0543043	79.0	63.713250160217285
31	16.181818	16.2961	66.0	-1.0	38.848484	9.964336	2.9127076	14.8855505	-0.18674368	128000	0.0	112.49569	-0.012082979	-2.4684932	1.3926741	0.0077724666	0.077077076	79.0	65.76810002326965
32	16.395834	16.34745	69.0	-1.0	40.125	10.86273	2.7506099	15.906829	-0.25552905	132000	-1.9868216e-08	129.24182	-0.012510285	-2.7557971	1.3612293	0.008670117	0.078828834	79.0	67.81536912918091
33	18.022223	17.927618	61.0	-1.0	42.61111	11.477095	3.0736368	15.921996	-0.14451402	136000	1.4901161e-08	141.50551	-0.011222395	-4.5278373	1.3007168	0.0059353895	0.067067064	79.0	69.86429715156555
34	17.648352	17.064438	70.0	-1.0	41.406593	12.848281	3.131257	18.876442	0.089173794	140000	-2.483527e-09	128.45024	-0.012070534	-3.718216	1.2792935	0.009341902	0.070320316	79.0	71.91698908805847
35	16.638298	16.338736	64.0	-1.0	40.37234	12.440998	3.372347	17.987997	-0.21447891	144000	-1.8626451e-08	163.82346	-0.010316178	-3.7353833	1.2524031	0.003023058	0.0543043	79.0	73.97308206558228
36	21.142857	18.795353	64.0	-1.0	46.0	12.811585	2.8783453	18.813002	0.5709417	148000	1.9868216e-08	159.8124	-0.0119702555	-8.38813	1.2109077	0.0070143007	0.055305302	79.0	76.0211820602417
37	17.27957	16.702562	64.0	-1.0	41.88172	14.276121	4.3619223	22.197918	-0.26238292	152000	2.483527e-09	126.32992	-0.011399218	-11.758938	1.2248755	0.0070526865	0.060560565	79.0	78.07024598121643
38	17.648352	16.874699	69.0	-1.0	41.0989	11.399308	3.7095513	18.136652	-0.5334606	156000	-2.4835268e-08	135.80959	-0.011588343	-3.2282894	1.1852913	0.00834561	0.06256256	79.0	80.11550116539001
39	15.153846	15.82523	67.0	-1.0	37.14423	12.363268	3.8097804	18.76844	-0.53459275	160000	-2.4835268e-08	138.1253	-0.009729057	-3.420831	1.1505995	0.0045443606	0.061811816	79.0	82.2049720287323
40	22.607595	20.601349	74.0	-1.0	47.987343	11.642042	3.1384752	17.334888	-0.3704861	164000	-2.4835268e-08	193.36395	-0.011696838	-21.322805	1.1026465	0.007988065	0.066316314	79.0	84.25610399246216
41	19.443182	17.982225	68.0	-1.0	44.329544	15.668858	4.3743362	23.309488	-0.5299039	168000	1.9868216e-08	154.6913	-0.010836693	-6.859043	1.0829972	0.005558923	0.059309315	79.0	86.30182814598083
42	16.935484	16.377146	62.0	-1.0	41.376343	13.626592	3.9319918	19.72083	-0.3708583	172000	-1.2417635e-09	135.29152	-0.010945048	-3.2591922	1.0583949	0.0073872744	0.056306303	79.0	88.36879801750183
43	18.82353	16.922785	59.0	-1.0	43.6	12.433391	3.5831664	18.055054	-0.55673945	176000	-1.4901161e-08	144.74422	-0.010360523	-2.863631	1.0346168	0.0058123334	0.05455455	79.0	90.41418600082397
44	19.975609	19.437187	65.0	-1.0	45.158535	13.860337	3.6261728	19.600534	-0.38256755	180000	7.450581e-09	161.64105	-0.011562888	-2.687973	1.0300249	0.004642743	0.061561566	79.0	92.47509098052979
