Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.6408839	3.220838	15.0	-1.0	21.75138	0.074669845	0.018103562	0.15384798	0.012948036	4000	9.934108e-09	9.206593	-0.041344058	-6.274805	3.3974807	0.0151276635	0.078578584	48.0	0.8152709007263184
1	2.695122	4.520115	31.0	-1.0	23.792683	0.6682421	1.5445064	8.699898	-1.6541803	8000	-7.450581e-09	19.869896	-0.0623952	-17.35264	3.3881352	0.015046188	0.13338338	59.0	1.7022149562835693
2	2.1856287	3.3829844	22.0	-1.0	23.508982	1.2399414	2.0685177	12.641303	-2.0116887	12000	-4.967054e-09	12.685814	-0.092750974	-11.231584	3.380326	0.015268753	0.33208206	75.0	2.691680908203125
3	1.7630057	3.0499532	18.0	-1.0	22.50867	1.12581	1.7088004	10.17803	-2.1786795	16000	4.967054e-09	9.513053	-0.07804387	-8.237372	3.363704	0.015325994	0.25075075	43.0	3.504589080810547
4	2.4790418	3.7221432	17.0	-1.0	23.646708	0.56396824	1.5788165	10.74705	-2.2219152	20000	0.0	13.735924	-0.058201134	-12.408778	3.3433132	0.015208763	0.1413914	23.0	4.2198569774627686
5	2.2951808	3.3675776	18.0	-1.0	23.759037	1.015126	1.7676173	10.122299	-1.693754	24000	3.7252903e-09	11.022384	-0.07258128	-9.840425	3.329998	0.01549887	0.23473473	35.0	5.009122133255005
6	2.2261906	4.1442766	32.0	-1.0	23.380953	0.92862386	1.7939839	10.590961	-1.8279107	28000	7.450581e-09	16.49288	-0.07211422	-15.072392	3.3159037	0.015476319	0.23023023	37.0	5.7911388874053955
7	2.4011977	3.9518962	20.0	-1.0	23.479042	1.0222585	1.9186984	17.836735	-1.7975825	32000	-4.967054e-09	14.679993	-0.061389614	-13.219787	3.2993307	0.015064885	0.14714715	27.0	6.516969919204712
8	2.5590062	4.123625	29.0	-1.0	24.440994	1.046735	1.849488	12.849401	-1.8009493	36000	8.692344e-09	17.151918	-0.06133224	-15.779942	3.2874172	0.015623939	0.18018019	28.0	7.245012998580933
9	3.0980392	4.26226	22.0	-1.0	25.424837	1.2666961	1.9947647	12.155386	-2.4010065	40000	-1.6142925e-08	17.985697	-0.073228404	-16.452316	3.2695255	0.015458136	0.23548548	35.0	8.018682956695557
10	2.43125	3.3719835	20.0	-1.0	24.4	1.3246549	2.0858731	13.891877	-1.681499	44000	-2.483527e-09	12.024396	-0.074466266	-10.770543	3.2434022	0.015347262	0.26226225	38.0	8.81067705154419
11	3.52349	4.7580156	30.0	-1.0	26.348993	0.82799494	1.6967144	18.024256	-1.8761228	48000	-9.934108e-09	20.892427	-0.056087125	-19.300158	3.2337532	0.015219371	0.1473974	22.0	9.517812967300415
12	2.7692308	4.3821406	24.0	-1.0	25.237179	1.8550044	2.5253522	19.917482	-1.9332455	52000	4.967054e-09	19.03585	-0.071407504	-17.497917	3.2039402	0.015619406	0.24524526	33.0	10.2780179977417
13	3.1176472	4.8788476	23.0	-1.0	25.80392	1.2805488	2.1623406	14.574002	-2.3717241	56000	7.450581e-09	22.043695	-0.05659728	-20.041508	3.1943567	0.01558249	0.16491492	22.0	10.981275796890259
14	3.6551723	6.654404	64.0	-1.0	26.84138	1.4596951	2.4090877	23.175188	-1.8445168	60000	7.450581e-09	55.62057	-0.051101122	-52.42528	3.1806653	0.0151972445	0.15815817	24.0	11.699130773544312
15	3.114094	5.437294	29.0	-1.0	26.161074	1.7170943	2.6823223	28.293186	-2.0252705	64000	7.450581e-09	28.750494	-0.071135394	-26.157728	3.1758568	0.015517143	0.25375375	33.0	12.459088802337646
16	3.437086	5.561905	36.0	-1.0	25.966887	1.9396299	2.5931294	17.06444	-2.018415	68000	1.2417635e-09	29.991964	-0.03356385	-26.990881	3.1477659	0.015050639	0.15990992	12.0	13.131174802780151
17	3.0	4.184097	22.0	-1.0	26.066668	1.7796941	2.5283637	20.197653	-1.9226964	72000	-2.483527e-09	18.474585	-0.07077622	-15.953315	3.1387365	0.015108369	0.2414915	32.0	13.891520977020264
18	3.5985916	4.997267	22.0	-1.0	27.78169	1.1522514	2.115194	16.214409	-1.8356287	76000	1.6142925e-08	22.45481	-0.06784568	-19.349033	3.1245844	0.015354586	0.22497497	28.0	14.62456202507019
19	3.6176472	4.821915	27.0	-1.0	28.867647	2.0373626	2.7564504	24.931093	-1.1812315	80000	9.934108e-09	23.64736	-0.03870676	-20.6244	3.098978	0.015257944	0.15515515	14.0	15.29792594909668
20	3.6950355	5.1611524	26.0	-1.0	27.67376	1.6909965	2.1910663	16.008945	-1.502622	84000	2.4835268e-08	26.506897	-0.06817593	-23.67479	3.082029	0.015658308	0.23323323	26.0	16.02709984779358
21	3.5214286	5.1192465	35.0	-1.0	27.942858	1.6264658	2.1706672	16.560904	-1.4455059	88000	-2.483527e-09	26.3068	-0.06307915	-23.511023	3.0656042	0.015160249	0.18118119	24.0	16.746114015579224
22	3.561151	4.0573497	22.0	-1.0	27.985611	1.8242116	2.4293587	18.353336	-1.9563936	92000	3.8805106e-09	16.161827	-0.06288344	-13.460941	3.045803	0.015769964	0.2067067	26.0	17.476476907730103
23	3.0273972	4.467455	24.0	-1.0	26.520548	1.6395824	2.119431	17.657885	-2.0336025	96000	0.0	16.479345	-0.07188219	-13.661878	3.0233574	0.015328332	0.26376376	32.0	18.23496985435486
24	4.883721	6.9623885	49.0	-1.0	30.131783	1.4720455	2.0750828	15.207479	-2.1080685	100000	1.9868216e-08	51.206177	-0.029533407	-47.743923	3.0049694	0.01523773	0.15765765	10.0	18.875000715255737
